ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR,,,,
783,25510,,,,,,,,,,,,,,157,220,,,,1301
769,25070,,,,,,,,,,,,,,235,480,,,,118.2727273
754,24590,,,,,,,,,,,,,,394,960,,,,
736,23990,,,,,,,,,,,,,,474,1210,,,,
719,23430,,,,,,,,,,,,,,607,1630,,,,
707,23040,,,,,,,,,,,,,,738,2030,,,,
690,22480,,,,,,,,,,,,,,870,2440,,2332,108,
677,22070,,,,,,,,,,,,,,1066,3060,,2944,116,
661,21560,,,,,,,,,,,,,,1296,3760,,3649,111,
647,21070,,,,,,,,,,,,,,1400,4070,,,,
630,20520,,,,,,,,,,,,,,1517,4450,,,,
615,20050,,,,,,,,,,,,,,1659,4890,,4752,138,
599,19510,,,,,,,,,,,,,,1836,5440,,5308,132,
585,19060,,,,,,,,,,,,,,2054,6110,,5990,120,
565,18420,,,,,,,,,,,,,,2159,6440,,,,
555,18080,,,,,,,,,,,,,,2334,6980,,6847,133,
534,17410,,,,,,,,,,,,,,2544,7630,,7497,133,
,,,,,,,,,,,,,,,2707,8120,,8002,118,
,,,,,,,,,,,,,,,2999,9030,,,,
,,,,,,,,,,,,,,,3230,9710,,9629,81,
,,,,,,,,,,,,,,,3364,10120,,10009,111,
m,37.78,,,,,,,,,,,,,,,,,,,
c,109.88,,,,,,,,,,,,,,,,,,,
