ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC,Current
808,26000,,,,,,,,,,,,,,36,0
792,25500,,,,,,,,,,,,,,183,500
777,25000,,,,,,,,,,,,,,331,1000
761,24500,,,,,,,,,,,,,,628,2000
745,24000,,,,,,,,,,,,,,925,3000
730,23500,,,,,,,,,,,,,,1221,4000
714,23000,,,,,,,,,,,,,,1517,5000
699,22500,,,,,,,,,,,,,,1813,6000
683,22000,,,,,,,,,,,,,,2109,7000
667,21500,,,,,,,,,,,,,,2406,8000
651,21000,,,,,,,,,,,,,,2702,9000
636,20500,,,,,,,,,,,,,,2999,10000
620,20000,,,,,,,,,,,,,,3295,11000
,,,,,,,,,,,,,,,3593,12000
m = 31.94,c = 192.22,,,,,,,,,,,,,,3893,13000
,,,,,,,,,,,,,,,4189,14000
,,,,,,,,,,,,,,,4487,15000
,,,,,,,,,,,,,,,4787,16000
,,,,,,,,,,,,,,,5088,17000
,,,,,,,,,,,,,,,5391,18000
,,,,,,,,,,,,,,,5698,19000
,,,,,,,,,,,,,,,6008,20000
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,m,3.3583
,,,,,,,,,,,,,,,c,-94.338
