ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC,Curr
806,26000,,,,,,,,,,,,,,18,0
791,25500,,,,,,,,,,,,,,200,500
775,25000,,,,,,,,,,,,,,379,1000
760,24500,,,,,,,,,,,,,,741,2000
745,24000,,,,,,,,,,,,,,1102,3000
728,23500,,,,,,,,,,,,,,1464,4000
713,23000,,,,,,,,,,,,,,1823,5000
697,22500,,,,,,,,,,,,,,2183,6000
681,22000,,,,,,,,,,,,,,2543,7000
666,21500,,,,,,,,,,,,,,2903,8000
,,,,,,,,,,,,,,,3262,9000
,,,,,,,,,,,,,,,3622,10000
,,,,,,,,,,,,,,,3981,11000
,,,,,,,,,,,,,,,4341,12000
,,,,,,,,,,,,,,,4700,13000
,,,,,,,,,,,,,,,5057,14000
,,,,,,,,,,,,,,,5417,15000
,,,,,,,,,,,,,,,5777,16000
,,,,,,,,,,,,,,,6135,17000
,,,,,,,,,,,,,,,6496,18000
,,,,,,,,,,,,,,,6858,19000
,,,,,,,,,,,,,,,7217,20000
m,31.998,,,,,,,,,,,,,,,
c,192.74,,,,,,,,,,,,,,m,2.7797
,,,,,,,,,,,,,,,c,-62.246
