ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,adc,curr,ADC_SHUNT,CURR,,Voltage,Percentage,y = Ax^3 + Bx^2 + Cx +D
780,26000,,,,,,,,,,,,,,,,,,,,,
765,25500,,,,,,,,,,,,,,,,,,,,,
750,25000,,,,,,,,,,,,,,,,,,,,,
733,24500,,,,,,,,,,,,,,,,,,,,,
720,24000,,,,,,,,,,,,,,,,,,,,,
705,23500,,,,,,,,,,,,,,,,,,,,,
690,23000,,,,,,,,,,,,,,,,,,,,,
675,22500,,,,,,,,,,,,,,,,,,,,,
660,22000,,,,,,,,,,,,,,,,,,,,,
,21500,,,,,,,,,,,,,,,,,,,,,
,21000,,,,,,,,,,,,,,,,,,,,,
,20500,,,,,,,,,,,,,,,,,,,,,
,20000,,,,,,,,,,,,,,,,,,,,,
,19500,,,,,,,,,,,,,,,,,,,,,
,19000,,,,,,,,,,,,,,,,,,,,,
,18500,,,,,,,,,,,,,,,,,,,,,
,18000,,,,,,,,,,,,,,,,,,,,,
,17500,,,,,,,,,,,,,,,,,,,,,
,17000,,,,,,,,,,,,,,,,,,,,,
,16500,,,,,,,,,,,,,,,,,,,,,
,16000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
m = 33.399,c = - 39.788,,,,,,,,,,,,,,,,,,,,,
