ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
807,26000,,,,,,,,,,,,,,29,0
792,25500,,,,,,,,,,,,,,248,500
776,25000,,,,,,,,,,,,,,463,1000
761,24500,,,,,,,,,,,,,,895,2000
745,24000,,,,,,,,,,,,,,1325,3000
729,23500,,,,,,,,,,,,,,1757,4000
714,23000,,,,,,,,,,,,,,2187,5000
698,22500,,,,,,,,,,,,,,2620,6000
683,22000,,,,,,,,,,,,,,3051,7000
667,21500,,,,,,,,,,,,,,3482,8000
652,21000,,,,,,,,,,,,,,3913,9000
636,20500,,,,,,,,,,,,,,4343,10000
620,20000,,,,,,,,,,,,,,4773,11000
605,19500,,,,,,,,,,,,,,5207,12000
589,19000,,,,,,,,,,,,,,5635,13000
,,,,,,,,,,,,,,,6065,14000
,,,,,,,,,,,,,,,6495,15000
,,,,,,,,,,,,,,,6926,16000
,,,,,,,,,,,,,,,7360,17000
,,,,,,,,,,,,,,,7790,18000
,,,,,,,,,,,,,,,8224,19000
,,,,,,,,,,,,,,,8660,20000
m,32.095,,,,,,,,,,,,,,,
c,89.271,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,m,2.3196
,,,,,,,,,,,,,,,c,-73.755
