ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR,,ADC_SHUNT,CURR,,Voltage,Percentage,y = Ax^3 + Bx^2 + Cx +D
797,26000,,,,,,,,,,,,,,48,0,,,,,,10,A
782,25500,,,,,,,,,,,,,,68,100,,,,,,14,B
766,25000,,,,,,,,,,,,,,90,200,,,,,,15,C
751,24500,,,,,,,,,,,,,,111,300,,,,,,16,D
735,24000,,,,,,,,,,,,,,244,400,,,,,,17,
720,23500,,,,,,,,,,,,,,155,500,,,,,,18,
705,23000,,,,,,,,,,,,,,260,1000,,,,,,19,
689,22500,,,,,,,,,,,,,,475,2000,,,,,,20,
674,22000,,,,,,,,,,,,,,688,3000,,,,,,21,
659,21500,,,,,,,,,,,,,,902,4000,,,,,,22,
643,21000,,,,,,,,,,,,,,1114,5000,,,,,,23,
628,20500,,,,,,,,,,,,,,1329,6000,,,,,,24,
612,20000,,,,,,,,,,,,,,1545,7000,,,,,,25,
597,19500,,,,,,,,,,,,,,1760,8000,,,,,,26,
582,19000,,,,,,,,,,,,,,1977,9000,,,,,,27,
,,,,,,,,,,,,,,,2195,10000,,,,,22768,28,
,,,,,,,,,,,,,,,2421,11000,,,,,22820,29,
,,,,,,,,,,,,,,,2640,12000,,,,,22835,30,
,,,,,,,,,,,,,,,2857,13000,,,,,22850,31,
,,,,,,,,,,,,,,,3080,14000,,,,,22865,32,
,,,,,,,,,,,,,,,3303,15000,,,,,22875,33,
,,,,,,,,,,,,,,,3590,16000,,,,,22880,34,
m,32.512,,,,,,,,,,,,,,3839,17000,,,,,22888,35,
c,88.27,,,,,,,,,,,,,,4090,18000,,,,,22901,36,
,,,,,,,,,,,,,,,4190,19000,,,,,22916,37,
,,,,,,,,,,,,,,,4530,20000,,,,,22931,38,
,,,,,,,,,,,,,,,excluded,,,,,,22939,39,
,,,,,,,,,,,,,,,m,4.6445,,,,,22953,40,
,,,,,,,,,,,,,,,c,-234.74,,,,,22968,41,
,,,,,,,,,,,,,,,x,48,,,,,22991,42,
,,,,,,,,,,,,,,,y,-11.804,,,,,23006,43,
,,,,,,,,,,,,,,,,,,,,,23021,44,
,,,,,,,,,,,,,,,,,,,,,23043,45,
,,,,,,,,,,,,,,,,,,,,,23059,46,
,,,,,,,,,,,,,,,,,,,,,23073,47,
,,,,,,,,,,,,,,,,,,,,,23097,48,
,,,,,,,,,,,,,,,,,,,,,23115,49,
,,,,,,,,,,,,,,,,,,,,,23136,50,
,,,,,,,,,,,,,,,,,,,,,23166,51,
,,,,,,,,,,,,,,,,,,,,,23186,52,
,,,,,,,,,,,,,,,,,,,,,23218,53,
,,,,,,,,,,,,,,,,,,,,,23240,54,
,,,,,,,,,,,,,,,,,,,,,23270,55,
,,,,,,,,,,,,,,,,,,,,,23313,56,
,,,,,,,,,,,,,,,,,,,,,23330,57,
,,,,,,,,,,,,,,,,,,,,,23357,58,
,,,,,,,,,,,,,,,,,,,,,23368,59,
,,,,,,,,,,,,,,,,,,,,,23402,60,
,,,,,,,,,,,,,,,,,,,,,23430,61,
,,,,,,,,,,,,,,,,,,,,,23472,62,
,,,,,,,,,,,,,,,,,,,,,23510,63,
,,,,,,,,,,,,,,,,,,,,,23534,64,
,,,,,,,,,,,,,,,,,,,,,23569,65,
,,,,,,,,,,,,,,,,,,,,,23603,66,
,,,,,,,,,,,,,,,,,,,,,23627,67,
,,,,,,,,,,,,,,,,,,,,,23665,68,
,,,,,,,,,,,,,,,,,,,,,23694,69,
,,,,,,,,,,,,,,,,,,,,,23726,70,
,,,,,,,,,,,,,,,,,,,,,23779,71,
,,,,,,,,,,,,,,,,,,,,,23815,72,
,,,,,,,,,,,,,,,,,,,,,23834,73,
,,,,,,,,,,,,,,,,,,,,,23869,74,
,,,,,,,,,,,,,,,,,,,,,23906,75,
,,,,,,,,,,,,,,,,,,,,,23950,76,
,,,,,,,,,,,,,,,,,,,,,23990,77,
,,,,,,,,,,,,,,,,,,,,,24030,78,
,,,,,,,,,,,,,,,,,,,,,24064,79,
,,,,,,,,,,,,,,,,,,,,,24116,80,
,,,,,,,,,,,,,,,,,,,,,24180,81,
,,,,,,,,,,,,,,,,,,,,,24230,82,
,,,,,,,,,,,,,,,,,,,,,24288,83,
,,,,,,,,,,,,,,,,,,,,,24340,84,
,,,,,,,,,,,,,,,,,,,,,24384,85,
,,,,,,,,,,,,,,,,,,,,,24440,86,
,,,,,,,,,,,,,,,,,,,,,24488,87,
,,,,,,,,,,,,,,,,,,,,,24540,88,
,,,,,,,,,,,,,,,,,,,,,24590,89,
,,,,,,,,,,,,,,,,,,,,,24655,90,
,,,,,,,,,,,,,,,,,,,,,24721,91,
,,,,,,,,,,,,,,,,,,,,,24799,92,
,,,,,,,,,,,,,,,,,,,,,24867,93,
,,,,,,,,,,,,,,,,,,,,,24921,94,
,,,,,,,,,,,,,,,,,,,,,24957,95,
,,,,,,,,,,,,,,,,,,,,,25025,96,
,,,,,,,,,,,,,,,,,,,,,25040,97,
,,,,,,,,,,,,,,,,,,,,,25055,98,
,,,,,,,,,,,,,,,,,,,,,25070,99,
,,,,,,,,,,,,,,,,,,,,,25095,100,
