ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
790,25500,791,,,,,,,,,,,,,5463,10040
770,24860,771,,,,,,,,,,,,,5215,9580
756,24425,757,,,,,,,,,,,,,5028,9240
742,23980,743,,,,,,,,,,,,,4686,8600
725,23410,726,,,,,,,,,,,,,4320,7930
709,22900,710,,,,,,,,,,,,,4129,7570
695,22450,696,,,,,,,,,,,,,3791,6940
680,21970,681,,,,,,,,,,,,,3504,6400
663,21400,664,,,,,,,,,,,,,3257,5960
651,20970,652,,,,,,,,,,,,,3044,5550
633,20430,634,,,,,,,,,,,,,2743,4990
621,20040,622,,,,,,,,,,,,,2500,4550
605,19500,606,,,,,,,,,,,,,2188,3980
588,18960,589,,,,,,,,,,,,,1919,3470
573,18460,574,,,,,,,,,,,,,1728,3120
557,17960,558,,,,,,,,,,,,,1388,2500
543,17480,544,,,,,,,,,,,,,1117,1990
524,16890,525,,,,,,,,,,,,,828,1450
511,16460,512,,,,,,,,,,,,,570,990
496,15980,497,,,,,,,,,,,,,295,470
,,,,,,,,,,,,,,,159,220
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
m,32.481,,,,,,,,,,,,,,m,1.7759
c,-138.87,,,,,,,,,,,,,,c,303.9
