ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
,,,,,,,,,,,,,,,6190,9.48
,,,,,,,,,,,,,,,5861,9
,,,,,,,,,,,,,,,5537,8.5
,,,,,,,,,,,,,,,5211,8
,,,,,,,,,,,,,,,4889,7.5
,,,,,,,,,,,,,,,4565,7
,,,,,,,,,,,,,,,4239,6.5
,,,,,,,,,,,,,,,3915,6
,,,,,,,,,,,,,,,3589,5.5
,,,,,,,,,,,,,,,3268,5
,,,,,,,,,,,,,,,2939,4.5
,,,,,,,,,,,,,,,2612,4
,,,,,,,,,,,,,,,2285,3.5
,,,,,,,,,,,,,,,1941,3
,,,,,,,,,,,,,,,1531,2.5
,,,,,,,,,,,,,,,1219,2
,,,,,,,,,,,,,,,930,1.5
,,,,,,,,,,,,,,,607,1
,,,,,,,,,,,,,,,296,0.5
