ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR,,Voltage,Percentage,y = Ax^3 + Bx^2 + Cx +D,
795,24210,,,,,,,,,,,,,,6190,9480,,,,A,-0.000000003
770,23500,,,,,,,,,,,,,,5861,9000,,,,B,0.0002
750,23000,,,,,,,,,,,,,,5537,8500,,22000,10,C,-4.5181
733,22500,,,,,,,,,,,,,,5211,8000,,22068,11,D,33946
715,22000,,,,,,,,,,,,,,4889,7500,,22136,12,,
697,21500,,,,,,,,,,,,,,4565,7000,,22204,13,,
680,21000,,,,,,,,,,,,,,4239,6500,,22274,14,,
664,20500,,,,,,,,,,,,,,3915,6000,,22370,15,,
647,20000,,,,,,,,,,,,,,3589,5500,,22430,16,,
630,19500,,,,,,,,,,,,,,3268,5000,,22471,17,,
613,19000,,,,,,,,,,,,,,2939,4500,,22518,18,,
596,18500,,,,,,,,,,,,,,2612,4000,,22549,19,,
581,18000,,,,,,,,,,,,,,2285,3500,,22580,20,,
563,17500,,,,,,,,,,,,,,1941,3000,,22600,21,,
547,17000,,,,,,,,,,,,,,1531,2500,,22632,22,,
530,16500,,,,,,,,,,,,,,1219,2000,,22653,23,,
514,16000,,,,,,,,,,,,,,930,1500,,22688,24,,
,,,,,,,,,,,,,,,607,1000,,22706,25,,
,,,,,,,,,,,,,,,296,500,,22736,26,,
,,,,,,,,,,,,,,,,,,22767,27,,
,,,,,,,,,,,,,,,m,1.5173,,22789,28,,
,,,,,,,,,,,,,,,c,77.834,,22815,29,,
m,29.353,,,,,,,,,,,,,,,,,22828,30,,
c,975.91,,,,,,,,,,,,,,,,,22842,31,,
,,,,,,,,,,,,,,,,,,22856,32,,
,,,,,,,,,,,,,,,,,,22871,33,,
,,,,,,,,,,,,,,,,,,22886,34,,
,,,,,,,,,,,,,,,,,,22909,35,,
,,,,,,,,,,,,,,,,,,22924,36,,
,,,,,,,,,,,,,,,,,,22938,37,,
,,,,,,,,,,,,,,,,,,22950,38,,
,,,,,,,,,,,,,,,,,,22960,39,,
,,,,,,,,,,,,,,,,,,22969,40,,
,,,,,,,,,,,,,,,,,,22978,41,,
,,,,,,,,,,,,,,,,,,22999,42,,
,,,,,,,,,,,,,,,,,,23006,43,,
,,,,,,,,,,,,,,,,,,23029,44,,
,,,,,,,,,,,,,,,,,,23040,45,,
,,,,,,,,,,,,,,,,,,23065,46,,
,,,,,,,,,,,,,,,,,,23080,47,,
,,,,,,,,,,,,,,,,,,23089,48,,
,,,,,,,,,,,,,,,,,,23111,49,,
,,,,,,,,,,,,,,,,,,23134,50,,
,,,,,,,,,,,,,,,,,,23163,51,,
,,,,,,,,,,,,,,,,,,23186,52,,
,,,,,,,,,,,,,,,,,,23221,53,,
,,,,,,,,,,,,,,,,,,23240,54,,
,,,,,,,,,,,,,,,,,,23272,55,,
,,,,,,,,,,,,,,,,,,23299,56,,
,,,,,,,,,,,,,,,,,,23321,57,,
,,,,,,,,,,,,,,,,,,23350,58,,
,,,,,,,,,,,,,,,,,,23374,59,,
,,,,,,,,,,,,,,,,,,23404,60,,
,,,,,,,,,,,,,,,,,,23433,61,,
,,,,,,,,,,,,,,,,,,23478,62,,
,,,,,,,,,,,,,,,,,,23501,63,,
,,,,,,,,,,,,,,,,,,23533,64,,
,,,,,,,,,,,,,,,,,,23561,65,,
,,,,,,,,,,,,,,,,,,23598,66,,
,,,,,,,,,,,,,,,,,,23629,67,,
,,,,,,,,,,,,,,,,,,23658,68,,
,,,,,,,,,,,,,,,,,,23689,69,,
,,,,,,,,,,,,,,,,,,23727,70,,
,,,,,,,,,,,,,,,,,,23774,71,,
,,,,,,,,,,,,,,,,,,23809,72,,
,,,,,,,,,,,,,,,,,,23846,73,,
,,,,,,,,,,,,,,,,,,23886,74,,
,,,,,,,,,,,,,,,,,,23921,75,,
,,,,,,,,,,,,,,,,,,23958,76,,
,,,,,,,,,,,,,,,,,,24001,77,,
,,,,,,,,,,,,,,,,,,24034,78,,
,,,,,,,,,,,,,,,,,,24071,79,,
,,,,,,,,,,,,,,,,,,24124,80,,
,,,,,,,,,,,,,,,,,,24176,81,,
,,,,,,,,,,,,,,,,,,24229,82,,
,,,,,,,,,,,,,,,,,,24290,83,,
,,,,,,,,,,,,,,,,,,24333,84,,
,,,,,,,,,,,,,,,,,,24395,85,,
,,,,,,,,,,,,,,,,,,24440,86,,
,,,,,,,,,,,,,,,,,,24487,87,,
,,,,,,,,,,,,,,,,,,24536,88,,
,,,,,,,,,,,,,,,,,,24581,89,,
,,,,,,,,,,,,,,,,,,24657,90,,
,,,,,,,,,,,,,,,,,,24724,91,,
,,,,,,,,,,,,,,,,,,24791,92,,
,,,,,,,,,,,,,,,,,,24862,93,,
,,,,,,,,,,,,,,,,,,24927,94,,
,,,,,,,,,,,,,,,,,,24994,95,,
,,,,,,,,,,,,,,,,,,25069,96,,
,,,,,,,,,,,,,,,,,,25136,97,,
,,,,,,,,,,,,,,,,,,25204,98,,
,,,,,,,,,,,,,,,,,,25226,99,,
,,,,,,,,,,,,,,,,,,25235,100,,
