ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR,Percentage,Voltage,y = Ax^3 + Bx^2 + Cx +D,
795,24210,,,,,,,,,,,,,,6190,9480,14,22298,A,0.005
770,23500,,,,,,,,,,,,,,5861,9000,15,22365,B,-0.5649
750,23000,,,,,,,,,,,,,,5537,8500,16,22440,C,40.444
733,22500,,,,,,,,,,,,,,5211,8000,17,22469,D,21939
715,22000,,,,,,,,,,,,,,4889,7500,18,22518,,
697,21500,,,,,,,,,,,,,,4565,7000,19,22548,,
680,21000,,,,,,,,,,,,,,4239,6500,20,22576,,
664,20500,,,,,,,,,,,,,,3915,6000,21,22600,,
647,20000,,,,,,,,,,,,,,3589,5500,22,22630,,
630,19500,,,,,,,,,,,,,,3268,5000,23,22653,,
613,19000,,,,,,,,,,,,,,2939,4500,24,22683,,
596,18500,,,,,,,,,,,,,,2612,4000,25,22706,,
581,18000,,,,,,,,,,,,,,2285,3500,26,22735,,
563,17500,,,,,,,,,,,,,,1941,3000,27,22766,,
547,17000,,,,,,,,,,,,,,1531,2500,28,22789,,
530,16500,,,,,,,,,,,,,,1219,2000,29,22811,,
514,16000,,,,,,,,,,,,,,930,1500,30,22826,,
,,,,,,,,,,,,,,,607,1000,31,22838,,
,,,,,,,,,,,,,,,296,500,32,22856,,
,,,,,,,,,,,,,,,,,33,22870,,
,,,,,,,,,,,,,,,m,1.5173,34,22886,,
,,,,,,,,,,,,,,,c,77.834,35,22893,,
m,29.353,,,,,,,,,,,,,,,,36,22908,,
c,975.91,,,,,,,,,,,,,,,,37,22923,,
,,,,,,,,,,,,,,,,,38,22938,,
,,,,,,,,,,,,,,,,,39,22945,,
,,,,,,,,,,,,,,,,,40,22960,,
,,,,,,,,,,,,,,,,,41,22976,,
,,,,,,,,,,,,,,,,,42,22999,,
,,,,,,,,,,,,,,,,,43,23010,,
,,,,,,,,,,,,,,,,,44,23030,,
,,,,,,,,,,,,,,,,,45,23045,,
,,,,,,,,,,,,,,,,,46,23051,,
,,,,,,,,,,,,,,,,,47,23073,,
,,,,,,,,,,,,,,,,,48,23097,,
,,,,,,,,,,,,,,,,,49,23111,,
,,,,,,,,,,,,,,,,,50,23134,,
,,,,,,,,,,,,,,,,,51,23166,,
,,,,,,,,,,,,,,,,,52,23187,,
,,,,,,,,,,,,,,,,,53,23218,,
,,,,,,,,,,,,,,,,,54,23240,,
,,,,,,,,,,,,,,,,,55,23269,,
,,,,,,,,,,,,,,,,,56,23300,,
,,,,,,,,,,,,,,,,,57,23325,,
,,,,,,,,,,,,,,,,,58,23350,,
,,,,,,,,,,,,,,,,,59,23367,,
,,,,,,,,,,,,,,,,,60,23404,,
,,,,,,,,,,,,,,,,,61,23436,,
,,,,,,,,,,,,,,,,,62,23471,,
,,,,,,,,,,,,,,,,,63,23502,,
,,,,,,,,,,,,,,,,,64,23531,,
,,,,,,,,,,,,,,,,,65,23560,,
,,,,,,,,,,,,,,,,,66,23599,,
,,,,,,,,,,,,,,,,,67,23637,,
,,,,,,,,,,,,,,,,,68,23658,,
,,,,,,,,,,,,,,,,,69,23690,,
,,,,,,,,,,,,,,,,,70,23730,,
,,,,,,,,,,,,,,,,,71,23772,,
,,,,,,,,,,,,,,,,,72,23808,,
,,,,,,,,,,,,,,,,,73,23846,,
,,,,,,,,,,,,,,,,,74,23890,,
,,,,,,,,,,,,,,,,,75,23928,,
,,,,,,,,,,,,,,,,,76,23961,,
,,,,,,,,,,,,,,,,,77,23999,,
,,,,,,,,,,,,,,,,,78,24034,,
,,,,,,,,,,,,,,,,,79,24073,,
,,,,,,,,,,,,,,,,,80,24124,,
,,,,,,,,,,,,,,,,,81,24176,,
,,,,,,,,,,,,,,,,,82,24235,,
,,,,,,,,,,,,,,,,,83,24277,,
,,,,,,,,,,,,,,,,,84,24330,,
,,,,,,,,,,,,,,,,,85,24385,,
,,,,,,,,,,,,,,,,,86,24433,,
,,,,,,,,,,,,,,,,,87,24491,,
,,,,,,,,,,,,,,,,,88,24540,,
,,,,,,,,,,,,,,,,,89,24585,,
,,,,,,,,,,,,,,,,,90,24656,,
,,,,,,,,,,,,,,,,,91,24730,,
,,,,,,,,,,,,,,,,,92,24791,,
,,,,,,,,,,,,,,,,,93,24856,,
,,,,,,,,,,,,,,,,,94,24926,,
,,,,,,,,,,,,,,,,,95,24996,,
,,,,,,,,,,,,,,,,,96,25068,,
,,,,,,,,,,,,,,,,,97,25133,,
,,,,,,,,,,,,,,,,,98,25207,,
,,,,,,,,,,,,,,,,,99,25218,,
,,,,,,,,,,,,,,,,,100,25236,,
