ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
790,25400,,,,,,,,,,,,,,6190,9480
777,24980,,,,,,,,,,,,,,5861,9000
762,24510,,,,,,,,,,,,,,5537,8500
744,23950,,,,,,,,,,,,,,5211,8000
729,23470,,,,,,,,,,,,,,4889,7500
713,22960,,,,,,,,,,,,,,4565,7000
696,22410,,,,,,,,,,,,,,4239,6500
684,22040,,,,,,,,,,,,,,3915,6000
669,21560,,,,,,,,,,,,,,3589,5500
651,20960,,,,,,,,,,,,,,3268,5000
638,20560,,,,,,,,,,,,,,2939,4500
622,20040,,,,,,,,,,,,,,2612,4000
606,19530,,,,,,,,,,,,,,2285,3500
591,19050,,,,,,,,,,,,,,1941,3000
573,18490,,,,,,,,,,,,,,1531,2500
558,18000,,,,,,,,,,,,,,1219,2000
542,17490,,,,,,,,,,,,,,930,1500
526,16980,,,,,,,,,,,,,,607,1000
512,16540,,,,,,,,,,,,,,296,500
496,15990,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,m,1.5173
,,,,,,,,,,,,,,,c,77.834
m,31.95,,,,,,,,,,,,,,,
c,171.27,,,,,,,,,,,,,,,
