ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,adc,curr,ADC_SHUNT,CURR,,Voltage,Percentage,y = Ax^3 + Bx^2 + Cx +D,
783,25410,,,,,,,,,,,,,,355,470,6304,9500,,22,10,A,4.42455
771,25050,,,,,,,,,,,,,,688,980,5970,9000,,22.298,14,B,-420.46384
755,24510,,,,,,,,,,,,,,1346,1980,5639,8500,,22.365,15,C,14966.72708
739,24000,,,,,,,,,,,,,,1672,2470,5308,8000,,22.44,16,D,-236478.7709
723,23470,,,,,,,,,,,,,,1854,2750,4979,7500,,22.469,17,,1399267.885
708,23000,,,,,,,,,,,,,,2078,3090,4643,7000,,22.518,18,,
693,22530,,,,,,,,,,,,,,2372,3530,4311,6500,,22.548,19,,
679,22070,,,,,,,,,,,,,,2760,4130,3981,6000,,22.576,20,,
661,21500,,,,,,,,,,,,,,3295,4940,3648,5500,,22.6,21,,
647,21040,,,,,,,,,,,,,,4102,6180,3318,5000,,22.63,22,,
630,20480,,,,,,,,,,,,,,4674,7060,2986,4500,,22.653,23,,
615,20020,,,,,,,,,,,,,,5437,8220,2649,4000,,22.683,24,,
600,19520,,,,,,,,,,,,,,5920,8960,2313,3500,,22.706,25,,
582,18930,,,,,,,,,,,,,,6506,9840,1970,3000,,22.735,26,,
569,18500,,,,,,,,,,,,,,,,1600,2500,,22.766,27,,
552,17950,,,,,,,,,,,,,,,,1276,2000,,22.789,28,,
537,17470,,,,,,,,,,,,,,,,926,1500,,22.811,29,,
519,16910,,,,,,,,,,,,,,,,568,1000,,22.826,30,,
506,16470,,,,,,,,,,,,,,,,240,500,,22.838,31,,
490,15970,,,,,,,,,,,,,,,,,,,22.856,32,,
,,,,,,,,,,,,,,,m,1.5252,m,1.4851,,22.87,33,,
,,,,,,,,,,,,,,,c,76.678,c,104.61,,22.886,34,,
m,32.289,,,,,,,,,,,,,,,-50,,,,22.893,35,,
c,141.18,,,,,,,,,,,,,,,2.3,,,,22.908,36,,
,,,,,,,,,,,,,,,,,,,,22.923,37,,
,,,,,,,,,,,,,,,,,,,,22.938,38,,
,,,,,,,,,,,,,,,,,,,,22.945,39,,
