VOLT,ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,,CURR,ADC_SHUNT
5.2,135,,,,,,,,,,,,,,0,0.5
10.5,275,,,,,,,,,,,,,,3.5,1640
15.7,412,,,,,,,,,,,,,,4.2,2165
17.3,455,,,,,,,,,,,,,,5,2742
19.2,506,,,,,,,,,,,,,,5.4,3120
19.6,516,,,,,,,,,,,,,,5.9,3435
20,526,,,,,,,,,,,,,,6.3,3660
20.3,534,,,,,,,,,,,,,,6.8,3951
20.6,542,,,,,,,,,,,,,,7.17,4177
21,555,,,,,,,,,,,,,,7.64,4450
21.3,561,,,,,,,,,,,,,,8.1,4700
21.6,569,,,,,,,,,,,,,,8.8,5155
22,580,,,,,,,,,,,,,,9.1,5310
22.4,590,,,,,,,,,,,,,,,
22.6,595,,,,,,,,,,,,,,,
22.8,600,,,,,,,,,,,,,,,
23.3,613,,,,,,,,,,,,,,,
23.6,622,,,,,,,,,,,,,,,
23.8,627,,,,,,,,,,,,,,,
24,632,,,,,,,,,,,,,,,
